language,package,module,source,line,local_version,status,lock_status
R,dplyr,dplyr,plotting/final_20260917/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,tools,tools,plotting/final_20260917/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,utils,utils,plotting/final_20260917/registered_original_csv_io.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
Python,reportlab,reportlab.pdfgen,plotting/supplement_20260917/render_figures.py,7,,MISSING_LOCAL,NOT_A_HISTORICAL_LOCK
Python,reportlab,reportlab.lib.pagesizes,plotting/supplement_20260917/render_figures.py,8,,MISSING_LOCAL,NOT_A_HISTORICAL_LOCK
Python,reportlab,reportlab.pdfbase,plotting/supplement_20260917/render_figures.py,9,,MISSING_LOCAL,NOT_A_HISTORICAL_LOCK
Python,reportlab,reportlab.pdfbase.ttfonts,plotting/supplement_20260917/render_figures.py,10,,MISSING_LOCAL,NOT_A_HISTORICAL_LOCK
Python,reportlab,reportlab.platypus,plotting/supplement_20260917/render_figures.py,11,,MISSING_LOCAL,NOT_A_HISTORICAL_LOCK
Python,reportlab,reportlab.lib.styles,plotting/supplement_20260917/render_figures.py,12,,MISSING_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,plotting/tables/recorded/prepare_workbook.py,2,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,lxml,lxml,plotting/tables/final_20260917/finalize_workbook.py,2,,MISSING_LOCAL,NOT_A_HISTORICAL_LOCK
Python,openpyxl,openpyxl,plotting/tables/final_20260917/finalize_workbook.py,4,,MISSING_LOCAL,NOT_A_HISTORICAL_LOCK
